"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,62080,"11368","NY","New York","Queens","New York",0,373300,0.00457481162540366,0.00810153929246557,0.0533295711060948,0.0691639509996815,0.0410316773110615,"2016-02","2016-Q1",373300,0,"2016-02"
2016-02-29,93144,"79936","TX","El Paso","El Paso","El Paso",1,111000,0.000901713255184851,-0.00179856115107914,-0.00359066427289048,-0.00618968879694415,0.00780208733073584,"2007-12","2007-Q4",131000,-0.152671755725191,"2006-07"
2016-02-29,84630,"60629","IL","Chicago","Cook","Chicago",2,139800,0.000715819613457409,0.00286944045911047,0.0370919881305638,0.0223051968199637,-0.0474015194809044,"2006-07","2006-Q3",232900,-0.399742378703306,"2002-06"
2016-02-29,96193,"90650","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Norwalk",3,406600,0.00618658747834694,0.0177722152690864,0.0790870488322718,0.0718552070865908,-0.0145743366307689,"2006-08","2006-Q3",490100,-0.170373393185064,"2005-05"
2016-02-29,62037,"11226","NY","New York","Kings","New York",4,565900,-0.00264363764540007,-0.0219495333563775,0.0740178401973809,0.0861274022198309,0.0401910981111344,"2015-11","2015-Q4",578600,-0.0219495333563775,"2015-10"
2016-02-29,62093,"11385","NY","New York","Queens","New York",5,543200,0.00555349870418364,0.018754688672168,0.0984833164812942,0.0487764013754464,0.014687748034899,"2016-02","2016-Q1",543200,0,"2016-02"
2016-02-29,96083,"90201","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Bell",6,376500,0.00992489270386266,0.0389072847682119,0.102811950790861,0.0935981781323569,-0.0124383110106626,"2007-02","2007-Q1",470600,-0.199957501062473,"2005-06"
2016-02-29,96125,"90280","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","South Gate",7,371400,0.0062313736114874,0.0231404958677686,0.106674612634088,0.0880994399598214,-0.0158406248414111,"2007-04","2007-Q2",474900,-0.217940619077701,"2005-05"
2016-02-29,61639,"10025","NY","New York","New York","New York",8,1168000,0.00907127429805616,-0.00815217391304348,0.089349002051856,0.094954523857633,0.0523797493366465,"2015-08","2015-Q3",1248500,-0.0644773728474169,"2015-06"
2016-02-29,62044,"11234","NY","New York","Kings","New York",9,487100,0.0055739058629232,0.0211740041928721,0.0750386228205694,0.0218043105379548,0.00241316288448545,"2007-11","2007-Q4",509600,-0.0441522762951334,"2006-04"
2016-02-29,84620,"60618","IL","Chicago","Cook","Chicago",10,327800,0.00244648318042813,0.00954727440714506,0.0530035335689046,0.0383310391941583,-0.00320688951420567,"2006-11","2006-Q4",349600,-0.0623569794050343,"2005-10"
2016-02-29,62046,"11236","NY","New York","Kings","New York",11,378800,0.00317796610169492,0.0182795698924731,0.0816676185037122,0.0126636499027613,-0.00175174706608283,"2007-12","2007-Q4",454100,-0.165822506055935,"2006-01"
2016-02-29,96361,"91331","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",12,392100,0.00693374422187982,0.0202966432474629,0.069266430324516,0.0935748194928698,-0.020877105337605,"2006-09","2006-Q3",514100,-0.237307916747714,"2005-01"
2016-02-29,61148,"08701","NJ","New York","Ocean","Lakewood Township",13,286800,0.0127118644067797,0.0294328786791098,0.0749625187406297,0.046406874611236,-0.0111407537272925,"2006-03","2006-Q1",321000,-0.106542056074766,"2005-02"
2016-02-29,96816,"92335","CA","Riverside","San Bernardino","Fontana",14,280300,0.0115481775532299,0.0316525579683474,0.0906614785992218,0.121058914769002,-0.0270927398452349,"2006-06","2006-Q2",387200,-0.276084710743802,"2004-12"
2016-02-29,62019,"11208","NY","New York","Kings","New York",15,370000,0.00680272108843537,0.0300668151447661,0.128737034777303,0.0400089118374003,0.00537156022301555,"2008-02","2008-Q1",447800,-0.173738276016079,"2006-05"
2016-02-29,91733,"77084","TX","Houston","Harris","Houston",16,147900,0.0033921302578019,0.0081799591002045,0.0756363636363636,0.0598456201249735,0.0177817258078781,"2016-02","2016-Q1",147900,0,"2016-02"
2016-02-29,62085,"11373","NY","New York","Queens","New York",17,306300,-0.025763358778626,-0.0943228858663513,-0.160591942998082,-0.00771874433459241,,"2015-01","2015-Q1",365200,-0.161281489594743,"2013-02"
2016-02-29,95992,"90011","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",18,333600,0.00270513976555455,0.00999091734786558,0.0624203821656051,0.128836206981872,-0.0119984117772568,"2007-04","2007-Q2",428200,-0.220924801494629,"2005-08"
2016-02-29,84639,"60639","IL","Chicago","Cook","Chicago",19,198600,0.00863382427628238,0.0290155440414508,0.110117384013415,0.0392811955188512,-0.0369849649066389,"2006-09","2006-Q3",300600,-0.339321357285429,"2003-01"
2016-02-29,62018,"11207","NY","New York","Kings","New York",20,330200,-0.00811054370681887,-0.0116731517509728,0.040983606557377,0.0194363628732552,-0.00221386889294095,"2007-12","2007-Q4",389500,-0.152246469833119,"2006-01"
2016-02-29,96239,"90805","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Long Beach",21,371700,0.00513791238507301,0.0172413793103448,0.0748987854251012,0.0817785852572106,-0.0172842227238285,"2006-08","2006-Q3",465800,-0.202018033490769,"2005-03"
2016-02-29,84693,"60804","IL","Chicago","Cook","Cicero",22,134000,0.00374531835205993,0.0159211523881729,0.0668789808917197,0.0367044014017943,-0.0454220587777685,"2006-11","2006-Q4",221400,-0.394760614272809,"2002-02"
2016-02-29,84646,"60647","IL","Chicago","Cook","Chicago",23,285100,0.00316678395496129,0.00706464146944543,0.0389941690962099,0.0273648385343663,-0.00656148793117417,"2006-07","2006-Q3",309600,-0.0791343669250646,"2005-07"
2016-02-29,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",24,337800,0.00956365809922295,0.0320806599450046,0.107177974434612,0.144793874998217,-0.0322616735570057,"2005-12","2005-Q4",469800,-0.280970625798212,"2004-04"
2016-02-29,62088,"11377","NY","New York","Queens","New York",25,407400,0.00270735909426532,0.0478395061728395,0.126970954356846,0.0430410885925696,0.0324244041660267,"2004-04","2004-Q2",424300,-0.0398303087438133,"2004-01"
2016-02-29,96817,"92336","CA","Riverside","San Bernardino","Fontana",26,395500,0.00228079067410035,0.00970130201684963,0.0353403141361257,0.0810225536510538,-0.0207971550678139,"2006-06","2006-Q2",499200,-0.207732371794872,"2004-10"
2016-02-29,61796,"10456","NY","New York","Bronx","New York",27,260200,0.000384467512495194,0.0100931677018634,-0.00838414634146342,0.01343837113655,-0.0042054503551614,"2008-07","2008-Q3",305600,-0.148560209424084,"2007-10"
2016-02-29,62025,"11214","NY","New York","Kings","New York",28,550900,0.000181554103122731,0.00181851245681033,0.0503336510962822,0.0468872337485349,0.0160304709885117,"2015-12","2015-Q4",551400,-0.000906782734856728,"2015-12"
2016-02-29,96882,"92503","CA","Riverside","Riverside","Riverside",29,316000,0.00508905852417303,0.0177133655394525,0.0840480274442539,0.0983381851170013,-0.0271197765859064,"2006-08","2006-Q3",426000,-0.258215962441315,"2004-09"
2016-02-29,96368,"91342","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",30,433900,0.00486336266790181,0.0178278207834858,0.0663553698697469,0.0802965160984122,-0.0173892497196185,"2006-08","2006-Q3",535500,-0.189729225023343,"2005-03"
2016-02-29,62015,"11204","NY","New York","Kings","New York",31,740600,0.000405241118465487,0.00789330430048993,0.0569430569430569,0.0629041988682171,0.028420204308611,"2016-02","2016-Q1",740600,0,"2016-02"
2016-02-29,62023,"11212","NY","New York","Kings","New York",32,316500,-0.00596733668341709,-0.0130963517305893,0.0134486071085495,0.000379578777037537,-0.00371444395651455,"2008-07","2008-Q3",388100,-0.18448853388302,"2005-12"
2016-02-29,84633,"60632","IL","Chicago","Cook","Chicago",33,151700,-0.00197368421052632,-0.00197368421052632,0.0564066852367688,0.0125911871532058,-0.0434733289811644,"2006-04","2006-Q2",240100,-0.368179925031237,"2002-11"
2016-02-29,97223,"93307","CA","Bakersfield","Kern","Bakersfield",34,143900,0.0105337078651685,0.0293276108726753,0.104374520337682,0.113404467655188,-0.0472942298946436,"2006-07","2006-Q3",238100,-0.395632087358253,"2004-10"
2016-02-29,96107,"90250","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Hawthorne",35,512600,0.00608439646712463,0.0130434782608696,0.0643687707641196,0.0724625310815685,-0.00620139064363923,"2006-07","2006-Q3",549900,-0.0678305146390253,"2005-08"
2016-02-29,84625,"60623","IL","Chicago","Cook","Chicago",36,129900,-0.00230414746543779,0.0101088646967341,0.0630114566284779,0.019056667656445,-0.0390676413210259,"2006-10","2006-Q4",198600,-0.345921450151057,"2002-08"
2016-02-29,96546,"91911","CA","San Diego","San Diego","Chula Vista",37,412400,0.00291828793774319,0.0190264393377811,0.0661840744570838,0.0915779553385312,-0.0177130702076681,"2006-04","2006-Q2",496100,-0.168715984680508,"2004-07"
2016-02-29,90769,"75217","TX","Dallas-Fort Worth","Dallas","Dallas",38,74000,0.012311901504788,0.0407876230661041,0.195476575121163,0.0927168045856661,-0.00689343406868492,"2006-02","2006-Q1",79300,-0.0668348045397226,"2004-03"
2016-02-29,84619,"60617","IL","Chicago","Cook","Chicago",39,105200,-0.00189753320683112,0.000951474785918173,0.0154440154440154,-0.0318799645399797,-0.0366386054167833,"2007-03","2007-Q1",162600,-0.353013530135301,"2002-01"
2016-02-29,96025,"90044","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",40,330700,0.00151423379769836,0.0110058086212168,0.0856861457649376,0.0960138252337466,-0.0165849452863891,"2007-04","2007-Q2",432100,-0.234667900948854,"2005-06"
2016-02-29,96488,"91744","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","La Puente",41,393900,0.00587334014300306,0.0131172839506173,0.0501199680085311,0.0783012961004095,-0.0116115860640769,"2006-10","2006-Q4",463600,-0.150345125107852,"2005-07"
2016-02-29,61790,"10314","NY","New York","Richmond","New York",42,412800,0.00121270919233568,0.00462399610610854,0.0421610704367584,0.0184713430816761,-0.000579543768030821,"2006-10","2006-Q4",423600,-0.0254957507082153,"2006-01"
2016-02-29,61802,"10462","NY","New York","Bronx","New York",43,110600,0.0137488542621448,0.0297951582867784,0.0644850818094321,-0.00340083054258933,,"2010-02","2010-Q1",118700,-0.0682392586352148,
2016-02-29,62039,"11229","NY","New York","Kings","New York",44,546100,-0.00473847275378167,-0.0105091502083711,0.0542471042471042,0.0312159073632421,0.0039290373601546,"2015-12","2015-Q4",552800,-0.0121201157742402,"2015-11"
2016-02-29,62067,"11355","NY","New York","Queens","New York",45,400500,-0.00422675285927399,-0.0420951925376704,-0.101816550796143,-0.00109502029704522,,"2015-08","2015-Q3",456700,-0.123056711188964,"2013-08"
2016-02-29,96846,"92376","CA","Riverside","San Bernardino","Rialto",46,270400,0.00933184023889511,0.0246305418719212,0.0708910891089109,0.120632081451237,-0.0278628698165346,"2006-08","2006-Q3",372700,-0.274483498792595,"2004-11"
2016-02-29,62045,"11235","NY","New York","Kings","New York",47,448200,0.00380739081746921,0.00246029970923731,0.00787047447717562,0.0125519681403745,0.0204951482140989,"2016-02","2016-Q1",448200,0,"2016-02"
2016-02-29,96465,"91706","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Baldwin Park",48,375600,0.00562248995983936,0.0170593013809911,0.0442035029190992,0.075269271104045,-0.0121641372365348,"2006-11","2006-Q4",448000,-0.161607142857143,"2005-06"
2016-02-29,96825,"92345","CA","Riverside","San Bernardino","Hesperia",49,195700,0.0103252452245741,0.0267576075550892,0.099438202247191,0.118884676835916,-0.0444007084031378,"2006-07","2006-Q3",321700,-0.391669257071806,"2004-08"
2016-02-29,96545,"91910","CA","San Diego","San Diego","Chula Vista",50,450200,0.00760966875559534,0.0299702585220773,0.102350636630754,0.081841268435668,-0.0178959385844698,"2005-10","2005-Q4",540400,-0.166913397483346,"2004-06"
2016-02-29,97567,"94112","CA","San Francisco","San Francisco","San Francisco",51,834700,0.00384846662657847,0.0160681679853926,0.10395450337257,0.0961288031042622,0.0189991527371096,"2016-02","2016-Q1",834700,0,"2016-02"
2016-02-29,62032,"11221","NY","New York","Kings","New York",52,880200,0.00341997264021888,0.0202851512692709,0.187854251012146,0.196457793981319,0.0735180395684274,"2016-02","2016-Q1",880200,0,"2016-02"
2016-02-29,96990,"92683","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Westminster",53,565800,0.00497335701598579,0.0159813251930329,0.055793991416309,0.060099647453401,-0.00953665520845348,"2006-06","2006-Q2",636100,-0.110517214274485,"2005-07"
2016-02-29,97189,"93257","CA","Visalia","Tulare","Porterville",54,156800,0.00255754475703325,0.0116129032258065,0.0806340454858718,0.0567197377511721,-0.0288372849309312,"2006-07","2006-Q3",220300,-0.288243304584657,"2005-02"
2016-02-29,62014,"11203","NY","New York","Kings","New York",55,414500,0.00680106873937333,0.0244686109738013,0.0755059678256357,0.0270023829718693,0.00564803726414853,"2007-12","2007-Q4",468600,-0.115450277422108,"2006-05"
2016-02-29,96888,"92509","CA","Riverside","Riverside","Rubidoux",56,318300,0.00536955148452306,0.0162835249042146,0.114886164623468,0.111884746215982,-0.0263905696036469,"2006-06","2006-Q2",423600,-0.248583569405099,"2004-10"
2016-02-29,98930,"96797","HI","Urban Honolulu, HI","Honolulu","Waipahu",57,580000,0.00293965070032855,0.0164738871363477,0.0804769001490313,0.0470878123719207,0.0135226024817758,"2016-02","2016-Q1",580000,0,"2016-02"
2016-02-29,97751,"94544","CA","San Francisco","Alameda","Hayward",58,493100,0.00571078931266572,0.0179603633360859,0.104120017913121,0.129439223504253,-0.0133968556928989,"2006-08","2006-Q3",575600,-0.143328700486449,"2005-03"
2016-02-29,98325,"95630","CA","Sacramento","Sacramento","Folsom",59,467100,0.00408426483233018,0.0152140838948055,0.0674131627056673,0.0590576242833494,-0.011805545715877,"2005-12","2005-Q4",528800,-0.116679273827534,"2004-12"
2016-02-29,96110,"90255","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Huntington Park",60,346800,0.00434404865334492,0.0152224824355972,0.0321428571428571,0.0838162744403403,-0.0185939265461851,"2007-07","2007-Q3",464000,-0.252586206896552,"2005-02"
2016-02-29,97431,"93722","CA","Fresno","Fresno","Fresno",61,202400,0.00247647350173353,0.00796812749003984,0.0514285714285714,0.0643205825321833,-0.0414269762462149,"2006-04","2006-Q2",310800,-0.348777348777349,"2004-04"
2016-02-29,96208,"90706","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Bellflower",62,430500,0.00560616678346181,0.0127028934368384,0.049743964886613,0.0550578788549636,-0.0181999096311805,"2006-08","2006-Q3",537900,-0.199665365309537,"2005-02"
2016-02-29,84627,"60625","IL","Chicago","Cook","Chicago",63,262700,0.00651340996168582,0.0257711831315892,0.0618431689571544,0.0174771259205284,-0.0126944604903756,"2007-10","2007-Q4",307300,-0.145135047185161,"2004-08"
2016-02-29,90654,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",64,162300,0.00433168316831683,0.0181932245922208,0.108606557377049,0.0678267638076049,0.0150352738709227,"2016-02","2016-Q1",162300,0,"2016-02"
2016-02-29,98432,"95823","CA","Sacramento","Sacramento","Sacramento",65,214000,0.0108644307982995,0.0418695228821811,0.140724946695096,0.129515405376997,-0.0401533045970904,"2005-12","2005-Q4",324300,-0.340117175454826,"2004-01"
2016-02-29,97970,"95076","CA","Santa Cruz","Santa Cruz","Watsonville",66,466200,0.00778210116731518,0.0270984798413748,0.0889978976874562,0.100741372880337,-0.0370159123669221,"2006-02","2006-Q1",679800,-0.314210061782877,"2004-03"
2016-02-29,97104,"93033","CA","Ventura","Ventura","Oxnard",67,383300,0.00498164656528579,0.0226787620064034,0.0748738081884464,0.0788178055459974,-0.0338552822444682,"2006-05","2006-Q2",551900,-0.305490125022649,"2004-07"
2016-02-29,61809,"10469","NY","New York","Bronx","New York",68,374300,0.00267881060809001,0.0078082929456112,0.0481657798935872,0.00493462861168026,-0.00824306669186792,"2007-06","2007-Q2",441300,-0.151824155903014,"2005-10"
2016-02-29,84629,"60628","IL","Chicago","Cook","Chicago",69,89700,0,0.00447928331466965,-0.0527983104540655,-0.0335705337895884,-0.0394853510854873,"2008-02","2008-Q1",142900,-0.372288313505948,"2001-04"
2016-02-29,100179,"99301","WA","Kennewick","Franklin","Pasco",70,174900,0.00459506031016657,0.0186371578334304,0.0910792264504055,0.0273851665134826,0.0274563912218071,"2016-02","2016-Q1",174900,0,"2016-02"
2016-02-29,84635,"60634","IL","Chicago","Cook","Chicago",71,236800,0.00211595429538722,0.00765957446808511,0.0614074406095921,0.0348746759384173,-0.0336630501631892,"2007-02","2007-Q1",342100,-0.307804735457469,"2002-10"
2016-02-29,94940,"85364","AZ","Yuma","Yuma","Yuma",72,114200,-0.004359197907585,-0.00609225413402959,0.0306859205776173,0.00624491014964312,-0.0392858837391324,"2006-08","2006-Q3",174700,-0.346307956496852,"2004-12"
2016-02-29,91940,"77449","TX","Houston","Harris","Cypress",73,151500,0.000660501981505945,0.01,0.0875807609475951,0.0588978686452251,0.0176362107197641,"2016-02","2016-Q1",151500,0,"2016-02"
2016-02-29,72488,"33186","FL","Miami-Fort Lauderdale","Miami-Dade","The Crossings",74,257400,0.00468384074941452,0.0145841545132046,0.0815126050420168,0.0888210545137362,-0.0172429803759486,"2007-03","2007-Q1",329200,-0.218104495747266,"2005-05"
2016-02-29,97202,"93274","CA","Visalia","Tulare","Tulare",75,167300,0.00722456351595424,0.0213675213675214,0.101382488479263,0.0776658566687822,-0.0325823602327888,"2006-07","2006-Q3",240100,-0.303206997084548,"2004-11"
2016-02-29,97004,"92704","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Santa Ana",76,463600,0.00498590938651637,0.0189010989010989,0.103021651201523,0.0897167423441569,-0.0239209341758181,"2007-01","2007-Q1",614700,-0.245810964698227,"2004-10"
2016-02-29,72350,"33012","FL","Miami-Fort Lauderdale","Miami-Dade","Hialeah",77,167600,0.000597014925373134,0.0108564535585042,0.0840879689521345,0.0918677830342631,-0.0210343101060745,"2007-09","2007-Q3",244800,-0.315359477124183,"2005-04"
2016-02-29,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",78,279800,0.00901550667147494,0.0264123257520176,0.143440948099714,0.0897015104329748,0.0383219487709769,"2016-02","2016-Q1",279800,0,"2016-02"
2016-02-29,61797,"10457","NY","New York","Bronx","New York",79,327800,0,-0.000609756097560976,0.0509778775248477,0.0101233942417394,0.00150723359103333,"2007-03","2007-Q1",367900,-0.108997010057081,"2006-05"
2016-02-29,90780,"75228","TX","Dallas-Fort Worth","Dallas","Dallas",80,129300,0.00936768149882904,0.0327476038338658,0.176524112829845,0.0880291589672479,0.0229019015674103,"2016-02","2016-Q1",129300,0,"2016-02"
2016-02-29,84622,"60620","IL","Chicago","Cook","Chicago",81,120600,0.00416319733555371,0.0160067396798652,0.0560420315236427,-0.00793365595480322,-0.0232593165963334,"2007-12","2007-Q4",165300,-0.270417422867514,"2003-12"
2016-02-29,96690,"92154","CA","San Diego","San Diego","San Diego",82,394100,0.00587034201123022,0.0241683991683992,0.0648473385571467,0.0990182677213827,-0.019053957638908,"2006-04","2006-Q2",480100,-0.179129348052489,"2004-06"
2016-02-29,84610,"60608","IL","Chicago","Cook","Chicago",83,205100,-0.00194647201946472,-0.00869985500241663,0.0811808118081181,0.0242986309732618,-0.0125883011370173,"2006-06","2006-Q2",243600,-0.158045977011494,"2005-02"
2016-02-29,70828,"30043","GA","Atlanta","Gwinnett","Lawrenceville",84,190600,0.00368615060558189,0.0165333333333333,0.0731981981981982,0.0537523507927435,0.000631780536117343,"2007-09","2007-Q3",196600,-0.0305188199389624,"2006-03"
2016-02-29,72362,"33024","FL","Miami-Fort Lauderdale","Broward","Pembroke Pines",85,209900,0.00671462829736211,0.0269080234833659,0.137669376693767,0.108872522524862,-0.025763058724751,"2006-06","2006-Q2",282900,-0.258041710851891,"2005-03"
2016-02-29,96113,"90262","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Lynwood",86,338000,0.00356294536817102,0.0165413533834586,0.093143596377749,0.0748510445194335,-0.0226899957793586,"2007-04","2007-Q2",467100,-0.276386212802398,"2005-03"
2016-02-29,93203,"80013","CO","Denver","Arapahoe","Aurora",87,267600,0.00525920360631104,0.0225448987390141,0.163984341017834,0.104094965605267,0.0282167320395537,"2016-02","2016-Q1",267600,0,"2016-02"
2016-02-29,97764,"94558","CA","Napa","Napa","Napa",88,539500,0.00709352249393317,0.0183087957719894,0.0815958299919808,0.0739693635115697,-0.0126909965323766,"2006-01","2006-Q1",613700,-0.12090598012058,"2004-10"
2016-02-29,97565,"94110","CA","San Francisco","San Francisco","San Francisco",89,1216100,-0.00425775812658642,-0.00969055374592834,0.0539041511396135,0.115334997545125,0.0421449588810729,"2015-08","2015-Q3",1247200,-0.0249358563181527,"2015-05"
2016-02-29,97792,"94587","CA","San Francisco","Alameda","Union City",90,708800,0.00155433093118553,0.0128608173763933,0.126868044515103,0.113537054976752,0.00837240163693642,"2016-02","2016-Q1",708800,0,"2016-02"
2016-02-29,97328,"93550","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Palmdale",91,201100,0.00852557673019057,0.028118609406953,0.0840970350404313,0.095419271616803,-0.0481203680961222,"2006-08","2006-Q3",338600,-0.4060838747785,"2004-05"
2016-02-29,95315,"87121","NM","Albuquerque","Bernalillo","Albuquerque",92,120300,-0.0016597510373444,0.00417362270450751,0.0343938091143594,-0.0177954364967913,-0.0102831145551591,"2007-08","2007-Q3",155500,-0.226366559485531,"2004-11"
2016-02-29,96911,"92553","CA","Riverside","Riverside","Moreno Valley",93,241600,0.00582847626977519,0.0129979035639413,0.0747330960854092,0.126805758579864,-0.0363038371334948,"2006-07","2006-Q3",362400,-0.333333333333333,"2004-08"
2016-02-29,97167,"93230","CA","Hanford","Kings","Hanford",94,174900,0.00344234079173838,0.0145011600928074,0.0536144578313253,0.0248490412236626,-0.031990761834739,"2006-06","2006-Q2",245500,-0.287576374745418,"2004-10"
2016-02-29,97023,"92804","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Anaheim",95,487900,0.0128710815860494,0.0293248945147679,0.0847043130280125,0.072020546038456,-0.0177174265938391,"2006-09","2006-Q3",594400,-0.179172274562584,"2004-12"
2016-02-29,60594,"07087","NJ","New York","Hudson","Union City",96,308300,-0.00323310701584222,-0.00804375804375804,0.0457937584803257,0.0308871087231615,-0.0161731845046942,"2007-05","2007-Q2",407000,-0.242506142506142,"2005-03"
2016-02-29,96364,"91335","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",97,457900,0.00725912890453146,0.0259914855478378,0.080207596131163,0.080721616877645,-0.0145905726809813,"2006-06","2006-Q2",543700,-0.157807614493287,"2005-05"
2016-02-29,87074,"66062","KS","Kansas City","Johnson","Olathe",98,211000,0.00476190476190476,0.0066793893129771,0.0518444666001994,0.0205444184163437,0.0117161594470889,"2016-02","2016-Q1",211000,0,"2016-02"
2016-02-29,96003,"90022","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","East Los Angeles",99,361900,0.00863991081382386,0.0211625282167043,0.0780458742925231,0.0763565812014277,-0.0134550367894493,"2007-04","2007-Q2",453300,-0.201632472975954,"2005-06"
2016-02-29,96468,"91710","CA","Riverside","San Bernardino","Chino",100,426000,0.00471698113207547,0.0145272683972374,0.0277442702050663,0.0726490905457768,-0.0152770488427095,"2006-05","2006-Q2",507600,-0.160756501182033,"2005-02"
2016-02-29,96667,"92126","CA","San Diego","San Diego","San Diego",101,505200,0.00138751238850347,0.0138470800722456,0.0611216131064902,0.0691114151263847,0.000775266984905265,"2005-10","2005-Q4",506700,-0.0029603315571344,"2005-08"
2016-02-29,61806,"10466","NY","New York","Bronx","New York",102,353100,0.00028328611898017,0.00455192034139403,0.0234782608695652,0.0133168181394621,-0.00899733604686948,"2007-04","2007-Q2",427000,-0.173067915690867,"2005-10"
2016-02-29,60565,"07055","NJ","New York","Passaic","Passaic",103,300700,0.00568561872909699,0.0217465171593612,0.0481003834088533,0.0438750711981757,-0.0233907233874738,"2007-06","2007-Q2",396000,-0.240656565656566,"2005-02"
2016-02-29,94748,"85032","AZ","Phoenix","Maricopa","Phoenix",104,216500,0.00510677808727948,0.024609559867487,0.105155691679428,0.1204525932409,-0.0182557343180276,"2006-04","2006-Q2",262900,-0.176492963103842,"2005-07"
2016-02-29,95806,"89110","NV","Las Vegas","Clark","Las Vegas",105,144600,0.000692041522491349,0.0133146461107218,0.117465224111283,0.148380859549127,-0.0493649899074171,"2006-09","2006-Q3",252900,-0.428232502965599,"2004-01"
2016-02-29,74126,"37042","TN","Clarksville","Montgomery","Clarksville",106,121200,-0.000824402308326463,0.01,0.0184873949579832,0.0128576929268616,0.0208514982032042,"2016-01","2016-Q1",121300,-0.000824402308326463,"2016-01"
2016-02-29,93123,"79912","TX","El Paso","El Paso","El Paso",107,170100,0.00472533963378618,0.0112960760998811,0.0265540132770066,-0.0216784476532061,0.00482892894426068,"2010-11","2010-Q4",198100,-0.141342756183746,"2006-06"
2016-02-29,67182,"22193","VA","Washington","Prince William","Woodbridge",108,277800,0.00180310133429499,0.00944767441860465,0.037728800896526,0.0511262165776298,-0.0349033304757633,"2006-02","2006-Q1",396300,-0.299015897047691,"2004-07"
2016-02-29,97318,"93535","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Lancaster",109,189300,0.0101387406616862,0.0310457516339869,0.0749574105621806,0.0778905476495353,-0.0467031496735169,"2006-08","2006-Q3",314400,-0.397900763358779,"2004-05"
2016-02-29,84541,"60505","IL","Chicago","Kane","Aurora",110,106300,0.00377714825306893,0.0114176974310181,0.0143129770992366,0.00691442872185388,-0.0348116679706008,"2007-03","2007-Q1",155200,-0.315077319587629,"2001-06"
2016-02-29,84340,"60085","IL","Chicago","Lake","Waukegan",111,88200,-0.00451467268623025,-0.0101010101010101,-0.037117903930131,-0.0314865704955326,-0.0539022262934012,"2006-09","2006-Q3",156300,-0.435700575815739,
2016-02-29,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",112,161700,0.00310173697270471,0.010625,0.0486381322957199,0.0350715672053854,0.00613922499766661,"2016-02","2016-Q1",161700,0,"2016-02"
2016-02-29,96647,"92105","CA","San Diego","San Diego","San Diego",113,349800,0.00835975785528971,0.017748036077975,0.0632218844984802,0.102548117679198,-0.0132961106259816,"2006-05","2006-Q2",403500,-0.133085501858736,"2004-08"
2016-02-29,97003,"92703","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Santa Ana",114,427300,0.0108824225218831,0.0286470871449206,0.0845177664974619,0.0927808819262503,-0.0292182275947236,"2007-01","2007-Q1",588700,-0.274163410905385,"2004-09"
2016-02-29,90764,"75211","TX","Dallas-Fort Worth","Dallas","Dallas",115,104100,0.00969932104752667,0.041,0.167040358744395,0.065788353166393,0.0124329948240944,"2016-02","2016-Q1",104100,0,"2016-02"
2016-02-29,65787,"19120","PA","Philadelphia","Philadelphia","Philadelphia",116,79800,-0.00869565217391304,-0.0172413793103448,0.00503778337531486,-0.0123136762951039,-0.0033219489658779,"2007-09","2007-Q3",94600,-0.156448202959831,"2005-10"
2016-02-29,66843,"21234","MD","Baltimore","Baltimore","Parkville",117,194600,0.00516528925619835,0.0119604784191368,0.0109090909090909,0.00821508896017575,-0.00838703178804157,"2007-07","2007-Q3",225400,-0.136645962732919,"2005-08"
