"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,97798,"94595","CA","San Francisco","Contra Costa","Walnut Creek",5335,573800,0.00861311302513623,0.0344330268613665,0.140528721924071,0.112046872742718,0.00371726698301922,"2016-02","2016-Q1",573800,0,"2016-02"
2016-02-29,94383,"84014","UT","Ogden","Davis","Centerville",5336,255500,0.00550964187327824,0.022,0.0766961651917404,0.0201007205733277,0.0179302299203039,"2008-02","2008-Q1",287600,-0.111613351877608,"2007-02"
2016-02-29,70751,"29902","SC","Hilton Head Island","Beaufort","Beaufort",5337,180500,0.00669269380925823,0.0140449438202247,0.0592723004694836,0.00358391987598972,-0.0081539296123877,"2006-07","2006-Q3",212700,-0.151386929948284,"2005-04"
2016-02-29,96930,"92587","CA","Riverside","Riverside","Canyon Lake",5338,363600,0.00220507166482911,0.0139431121026213,0.0563625798954096,0.0981259859931551,-0.0258168962323221,"2006-05","2006-Q2",482600,-0.246581019477828,"2004-03"
2016-02-29,90042,"73501","OK","Lawton","Comanche","Lawton",5339,53600,-0.00371747211895911,-0.0147058823529412,-0.0629370629370629,-0.0183481424496162,-0.0078583546576646,"2012-08","2012-Q3",64400,-0.167701863354037,
2016-02-29,74625,"38063","TN",,"Lauderdale","Ripley",5340,63600,-0.00934579439252336,-0.013953488372093,-0.0215384615384615,0.0117219514927542,-0.0138250338257239,"2006-03","2006-Q1",73300,-0.132332878581173,"2005-03"
2016-02-29,78091,"46320","IN","Chicago","Lake","Hammond",5341,55100,-0.017825311942959,-0.0516351118760757,-0.0981996726677578,-0.0191726182133564,-0.031391581508185,"2008-05","2008-Q2",89900,-0.387096774193548,
2016-02-29,82058,"55038","MN","Minneapolis-St Paul","Washington","Hugo",5342,257500,0.000777302759424796,0.0137795275590551,0.0666942833471417,0.0440227848198813,-0.00535349831088305,"2006-04","2006-Q2",272700,-0.0557389072240557,"2005-03"
2016-02-29,84567,"60538","IL","Chicago","Kendall","Montgomery",5343,160200,0.00501882057716437,0.0139240506329114,0.0249520153550864,0.00990037534655719,-0.0209121262500577,"2007-04","2007-Q2",203600,-0.213163064833006,"2003-01"
2016-02-29,72395,"33066","FL","Miami-Fort Lauderdale","Broward","Coconut Creek",5344,106800,0.0028169014084507,0.0113636363636364,0.0853658536585366,0.10272187667622,-0.0614168617882891,"2006-05","2006-Q2",209400,-0.489971346704871,"2003-09"
2016-02-29,65723,"19044","PA","Philadelphia","Montgomery","Horsham",5345,239800,0.00334728033472803,0.00756302521008403,0.0234741784037559,0.00150804974949348,-0.00686449711237902,"2006-06","2006-Q2",260100,-0.0780469050365244,"2005-05"
2016-02-29,84314,"60051","IL","Chicago","McHenry","Lakemoor",5346,170600,0.00530347672362994,0.0246246246246246,0.062266500622665,-0.00587395251206169,-0.0231837221254452,"2007-09","2007-Q3",222800,-0.234290843806104,"2002-07"
2016-02-29,82130,"55129","MN","Minneapolis-St Paul","Washington","Woodbury",5347,373900,0.000267522739432852,0.00564819795589026,0.0544275239706712,0.0389329287870441,-0.00214092760056273,"2006-04","2006-Q2",386200,-0.0318487830139824,"2005-02"
2016-02-29,58958,"02878","RI","Providence","Newport","Town of Tiverton",5348,230500,0.00130321459600348,0.00435729847494553,0.0221729490022173,-0.00763124395026227,-0.0245027624629214,"2006-10","2006-Q4",310600,-0.25788795878944,"2003-07"
2016-02-29,81276,"53190","WI","Whitewater","Walworth","Town of Whitewater",5349,176500,-0.00169683257918552,0.00113442994895065,0.0231884057971014,0.0193141877313185,-0.00469245076058844,"2006-05","2006-Q2",189000,-0.0661375661375661,"2005-05"
2016-02-29,79030,"48168","MI","Detroit","Wayne","Northville Township",5350,428600,0.00563115908024402,0.0209623630300143,0.0701622971285893,0.0871739345504261,0.00650290684636556,"2016-02","2016-Q1",428600,0,"2016-02"
2016-02-29,60787,"07746","NJ","New York","Monmouth","Marlboro",5351,494400,0.00324675324675325,0.0104230533415083,0.026791277258567,0.0172853590647355,-0.0101318128850323,"2006-06","2006-Q2",548800,-0.0991253644314869,"2005-01"
2016-02-29,74975,"38732","MS","Cleveland","Bolivar","Cleveland",5352,108600,-0.00640439158279963,-0.0312221231043711,-0.0621761658031088,0.0211703444830058,0.0169479247508677,"2013-08","2013-Q3",126200,-0.13946117274168,"2012-11"
2016-02-29,77165,"44425","OH","Youngstown","Trumbull","Hubbard",5353,80000,-0.00124843945068664,-0.00497512437810945,-0.0147783251231527,0.00585132799205446,-0.0126921038256114,"2006-03","2006-Q1",90900,-0.11991199119912,"2003-06"
2016-02-29,93506,"80701","CO","Fort Morgan","Morgan","Fort Morgan",5354,144500,0.00626740947075209,0.014747191011236,0.0881024096385542,0.0354516680594803,0.0109421040384723,"2016-02","2016-Q1",144500,0,"2016-02"
2016-02-29,66531,"20646","MD","Washington","Charles","La Plata",5355,303200,0.0046388336646786,0.0133689839572193,0.00932090545938748,-0.000329489363150692,-0.0297966541595726,"2006-08","2006-Q3",422000,-0.281516587677725,"2004-09"
2016-02-29,70225,"28786","NC","Asheville","Haywood","Waynesville",5356,141400,0.00283687943262411,0.0172661870503597,0.0458579881656805,0.044754416260772,0.0166302372975717,"2016-02","2016-Q1",141400,0,"2016-02"
2016-02-29,81170,"53045","WI","Milwaukee","Waukesha","Brookfield",5357,305300,0.000983606557377049,0.00593080724876442,0.0314189189189189,0.0244998684481041,-0.00274232698855759,"2008-02","2008-Q1",326300,-0.064357952804168,"2005-08"
2016-02-29,60707,"07514","NJ","New York","Passaic","Paterson",5358,181100,-0.00767123287671233,-0.0216099405726634,-0.117016089712335,-0.0175860261983892,-0.0589500411004427,"2006-07","2006-Q3",343400,-0.472626674432149,"2002-09"
2016-02-29,69271,"27278","NC","Durham","Orange","Hillsborough",5359,210100,0.00670819357930043,0.0169409486931268,0.0184197770237518,0.0156544095020834,0.0103728875717668,"2014-04","2014-Q2",210900,-0.00379326695116169,"2014-01"
2016-02-29,63929,"15147","PA","Pittsburgh","Allegheny","Penn Hills",5360,82500,0.00243013365735115,0.0135135135135135,0.0122699386503067,0.0107632405267593,0.00245712468663739,"2007-03","2007-Q1",82600,-0.00121065375302663,"2007-02"
2016-02-29,81970,"54913","WI","Appleton","Outagamie","Appleton",5361,232200,0.000862068965517241,0.00475984422327997,0.032,0.0240347888598593,0.0116031487490524,"2016-02","2016-Q1",232200,0,"2016-02"
2016-02-29,71833,"32168","FL","Daytona Beach","Volusia","New Smyrna Beach",5362,185800,0.0037817396002161,0.0208791208791209,0.0916568742655699,0.0452741310072364,-0.0329684213807491,"2006-07","2006-Q3",265800,-0.300978179082017,"2004-11"
2016-02-29,74377,"37416","TN","Chattanooga","Hamilton","Chattanooga",5363,120900,0.000827814569536424,0.00666111573688593,0.0228426395939086,0.00692399824306245,0.00319865351106863,"2007-10","2007-Q4",121700,-0.00657354149548069,"2007-07"
2016-02-29,69454,"27614","NC","Raleigh","Wake","Raleigh",5364,366900,0.00109140518417462,-0.00298913043478261,0.0197331851028349,0.0259420657185929,0.00886666149281501,"2015-09","2015-Q3",368500,-0.00434192672998643,"2015-07"
2016-02-29,86328,"64081","MO","Kansas City","Jackson","Lees Summit",5365,217100,0.00184586986617443,0.0125932835820896,0.0652600588812561,0.0493881587367531,,"2013-04","2013-Q2",221900,-0.0216313654799459,"2013-03"
2016-02-29,60579,"07070","NJ","New York","Bergen","Rutherford",5366,430800,0.00630693763139454,0.0174775625885687,0.0313622216902083,0.0113812976583505,-0.00692470811099277,"2007-01","2007-Q1",478500,-0.0996865203761755,"2005-02"
2016-02-29,61099,"08536","NJ","New York","Middlesex","Plainsboro Township",5367,399300,-0.00150037509377344,-0.00199950012496876,-0.00523168908819133,0.010010766578556,-0.00710241733736472,"2005-10","2005-Q4",432900,-0.0776160776160776,"2005-05"
2016-02-29,90310,"74127","OK","Tulsa","Tulsa","Tulsa",5368,62100,-0.00480769230769231,-0.00956937799043062,0.065180102915952,0.0162191991120493,0.00616191689133538,"2014-02","2014-Q1",64200,-0.0327102803738318,"2013-09"
2016-02-29,82264,"55414","MN","Minneapolis-St Paul","Hennepin","Minneapolis",5369,241300,0.0320786997433704,0.0012448132780083,0.0738762794837561,0.0512986539611955,-0.0016020385072103,"2006-05","2006-Q2",247300,-0.0242620299231702,"2005-11"
2016-02-29,71807,"32128","FL","Daytona Beach","Volusia","Port Orange",5370,256500,0.00273651290070367,0.0158415841584158,0.0665280665280665,0.0527109499021878,-0.0308237155966901,"2006-08","2006-Q3",356500,-0.280504908835905,"2004-09"
2016-02-29,78109,"46356","IN","Chicago","Lake","Lowell",5371,164100,-0.00665859564164649,-0.000609013398294762,0.0419047619047619,0.0165093038473698,0.00729204634836567,"2007-07","2007-Q3",169700,-0.0329994107248085,"2007-03"
2016-02-29,70757,"29909","SC","Hilton Head Island","Beaufort","Okatie",5372,272800,0.00813008130081301,0.0213403219767877,0.0698039215686275,0.0399273936193441,0.00320838928663969,"2006-12","2006-Q4",288500,-0.054419410745234,"2006-05"
2016-02-29,71261,"30656","GA","Atlanta","Walton","Monroe",5373,160500,0.00438047559449312,0.0113421550094518,0.0671542553191489,0.0824560104695471,0.0164778469458515,"2016-02","2016-Q1",160500,0,"2016-02"
2016-02-29,61847,"10538","NY","New York","Westchester","Larchmont",5374,1132200,0.0022129768965212,0.025915186661834,0.110108834199431,0.0411180139406448,0.0053380271961343,"2016-02","2016-Q1",1132200,0,"2016-02"
2016-02-29,85923,"63105","MO","St. Louis","Saint Louis","Clayton",5375,567200,0.00817632420902951,0.0290275761973875,0.0552558139534884,0.0373422051285732,0.00684455748272295,"2016-02","2016-Q1",567200,0,"2016-02"
2016-02-29,64619,"16505","PA","Erie","Erie","Millcreek Township",5376,137500,0.00364963503649635,0.0117733627667403,0.00806451612903226,0.0168161478219546,0.0125311691274357,"2015-04","2015-Q2",138300,-0.00578452639190166,"2015-03"
2016-02-29,61155,"08731","NJ","New York","Ocean","Lacey",5377,221900,-0.00045045045045045,-0.00269662921348315,-0.078870900788709,-0.00826341657307517,-0.0271459100065022,"2006-05","2006-Q2",294700,-0.247030878859857,"2004-02"
2016-02-29,79161,"48362","MI","Detroit","Oakland","Orion",5378,173600,-0.00458715596330275,-0.0034443168771527,0.0489425981873112,0.0779083977565453,-0.0115065676287847,"2005-05","2005-Q2",196100,-0.114737378888322,"2001-10"
2016-02-29,77003,"44103","OH","Cleveland","Cuyahoga","Cleveland",5379,44900,0.018140589569161,0.0158371040723982,-0.0547368421052632,-0.0390668927177423,-0.0406573714873375,"2007-03","2007-Q1",69900,-0.357653791130186,"1998-04"
